model,dataset,noise,agent_num,accuracy
Llama-3.1-8B-Instruct,gsm,clean,1,0.6315390447308568
Llama-3.1-8B-Instruct,gsm,clean,5,0.8385140257771039
Llama-3.1-8B-Instruct,gsm,clean,10,0.8953752843062927
Llama-3.1-8B-Instruct,gsm,clean,15,0.9128127369219106
Llama-3.1-8B-Instruct,gsm,clean,20,0.9150871872630781
Llama-3.1-8B-Instruct,gsm,clean,25,0.9173616376042456
Llama-3.1-8B-Instruct,gsm,punctuation_10,1,0.6087945413191812
Llama-3.1-8B-Instruct,gsm,punctuation_10,5,0.8301743745261562
Llama-3.1-8B-Instruct,gsm,punctuation_10,10,0.8824867323730099
Llama-3.1-8B-Instruct,gsm,punctuation_10,15,0.8946171341925702
Llama-3.1-8B-Instruct,gsm,punctuation_10,20,0.8976497346474602
Llama-3.1-8B-Instruct,gsm,punctuation_10,25,0.9037149355572404
Llama-3.1-8B-Instruct,gsm,punctuation_30,1,0.6315390447308568
Llama-3.1-8B-Instruct,gsm,punctuation_30,5,0.8074298711144806
Llama-3.1-8B-Instruct,gsm,punctuation_30,10,0.8589840788476119
Llama-3.1-8B-Instruct,gsm,punctuation_30,15,0.8779378316906747
Llama-3.1-8B-Instruct,gsm,punctuation_30,20,0.8809704321455648
Llama-3.1-8B-Instruct,gsm,punctuation_30,25,0.890068233510235
Llama-3.1-8B-Instruct,gsm,punctuation_50,1,0.6259228876127974
Llama-3.1-8B-Instruct,gsm,punctuation_50,5,0.8088597210828548
Llama-3.1-8B-Instruct,gsm,punctuation_50,10,0.8465955701394585
Llama-3.1-8B-Instruct,gsm,punctuation_50,15,0.8621821164889254
Llama-3.1-8B-Instruct,gsm,punctuation_50,20,0.874487284659557
Llama-3.1-8B-Instruct,gsm,punctuation_50,25,0.8728465955701394
Llama-3.1-8B-Instruct,gsm,wikitypo,1,0.45564821834723274
Llama-3.1-8B-Instruct,gsm,wikitypo,5,0.6141015921152388
Llama-3.1-8B-Instruct,gsm,wikitypo,10,0.6762699014404853
Llama-3.1-8B-Instruct,gsm,wikitypo,15,0.7005307050796058
Llama-3.1-8B-Instruct,gsm,wikitypo,20,0.709628506444276
Llama-3.1-8B-Instruct,gsm,wikitypo,25,0.7119029567854435
Llama-3.1-8B-Instruct,math,clean,1,0.25
Llama-3.1-8B-Instruct,math,clean,5,0.35
Llama-3.1-8B-Instruct,math,clean,10,0.46
Llama-3.1-8B-Instruct,math,clean,15,0.5
Llama-3.1-8B-Instruct,math,clean,20,0.51
Llama-3.1-8B-Instruct,math,clean,25,0.52
Llama-3.1-8B-Instruct,math,punctuation_10,1,0.2
Llama-3.1-8B-Instruct,math,punctuation_10,5,0.3
Llama-3.1-8B-Instruct,math,punctuation_10,10,0.39
Llama-3.1-8B-Instruct,math,punctuation_10,15,0.39
Llama-3.1-8B-Instruct,math,punctuation_10,20,0.43
Llama-3.1-8B-Instruct,math,punctuation_10,25,0.45
Llama-3.1-8B-Instruct,math,punctuation_30,1,0.21
Llama-3.1-8B-Instruct,math,punctuation_30,5,0.32
Llama-3.1-8B-Instruct,math,punctuation_30,10,0.37
Llama-3.1-8B-Instruct,math,punctuation_30,15,0.39
Llama-3.1-8B-Instruct,math,punctuation_30,20,0.4
Llama-3.1-8B-Instruct,math,punctuation_30,25,0.41
Llama-3.1-8B-Instruct,math,punctuation_50,1,0.23
Llama-3.1-8B-Instruct,math,punctuation_50,5,0.35
Llama-3.1-8B-Instruct,math,punctuation_50,10,0.36
Llama-3.1-8B-Instruct,math,punctuation_50,15,0.37
Llama-3.1-8B-Instruct,math,punctuation_50,20,0.38
Llama-3.1-8B-Instruct,math,punctuation_50,25,0.38
Llama-3.1-8B-Instruct,math,wikitypo,1,0.13
Llama-3.1-8B-Instruct,math,wikitypo,5,0.22
Llama-3.1-8B-Instruct,math,wikitypo,10,0.3
