,dataset,noise,model,agent_num,count
0,gsm,clean,Llama-3.1-8B-Instruct,1,100
1,gsm,clean,Llama-3.1-8B-Instruct,5,100
2,gsm,clean,Llama-3.1-8B-Instruct,10,100
3,gsm,clean,Llama-3.1-8B-Instruct,15,60
4,gsm,clean,Qwen3-14B,1,100
5,gsm,clean,Qwen3-14B,5,100
6,gsm,clean,Qwen3-14B,10,100
7,gsm,clean,Qwen3-14B,15,100
8,gsm,clean,Qwen3-14B,20,100
9,gsm,clean,Qwen3-14B,25,100
10,gsm,clean,Qwen3-4B,1,100
11,gsm,clean,Qwen3-4B,5,100
12,gsm,clean,Qwen3-4B,10,100
13,gsm,clean,Qwen3-4B,15,100
14,gsm,clean,Qwen3-4B,20,100
15,gsm,clean,Qwen3-4B,25,100
16,gsm,clean,gemma-3-4b-it,1,100
17,gsm,clean,gemma-3-4b-it,5,100
18,gsm,clean,gemma-3-4b-it,10,100
19,gsm,clean,gemma-3-4b-it,15,100
20,gsm,clean,gemma-3-4b-it,20,100
21,gsm,clean,gemma-3-4b-it,25,100
22,gsm,punctuation_10,Llama-3.1-8B-Instruct,1,100
23,gsm,punctuation_10,Llama-3.1-8B-Instruct,5,100
24,gsm,punctuation_10,Llama-3.1-8B-Instruct,10,100
25,gsm,punctuation_10,Llama-3.1-8B-Instruct,15,100
26,gsm,punctuation_10,Llama-3.1-8B-Instruct,20,100
27,gsm,punctuation_10,Llama-3.1-8B-Instruct,25,100
28,gsm,punctuation_10,Qwen3-14B,1,100
29,gsm,punctuation_10,Qwen3-14B,5,100
30,gsm,punctuation_10,Qwen3-14B,10,100
31,gsm,punctuation_10,Qwen3-14B,15,100
32,gsm,punctuation_10,Qwen3-14B,20,100
33,gsm,punctuation_10,Qwen3-14B,25,100
34,gsm,punctuation_10,Qwen3-4B,1,100
35,gsm,punctuation_10,Qwen3-4B,5,100
36,gsm,punctuation_10,Qwen3-4B,10,100
37,gsm,punctuation_10,Qwen3-4B,15,100
38,gsm,punctuation_10,Qwen3-4B,20,100
39,gsm,punctuation_10,Qwen3-4B,25,100
40,gsm,punctuation_10,gemma-3-4b-it,1,100
41,gsm,punctuation_10,gemma-3-4b-it,5,100
42,gsm,punctuation_10,gemma-3-4b-it,10,100
43,gsm,punctuation_10,gemma-3-4b-it,15,100
44,gsm,punctuation_10,gemma-3-4b-it,20,100
45,gsm,punctuation_10,gemma-3-4b-it,25,100
46,gsm,punctuation_30,Llama-3.1-8B-Instruct,1,100
47,gsm,punctuation_30,Llama-3.1-8B-Instruct,5,36
48,gsm,punctuation_30,Qwen3-14B,1,100
49,gsm,punctuation_30,Qwen3-14B,5,100
50,gsm,punctuation_30,Qwen3-14B,10,100
51,gsm,punctuation_30,Qwen3-14B,15,100
52,gsm,punctuation_30,Qwen3-14B,20,100
53,gsm,punctuation_30,Qwen3-14B,25,100
54,gsm,punctuation_30,Qwen3-4B,1,100
55,gsm,punctuation_30,Qwen3-4B,5,100
56,gsm,punctuation_30,Qwen3-4B,10,100
57,gsm,punctuation_30,Qwen3-4B,15,100
58,gsm,punctuation_30,Qwen3-4B,20,100
59,gsm,punctuation_30,Qwen3-4B,25,100
60,gsm,punctuation_30,gemma-3-4b-it,1,100
61,gsm,punctuation_30,gemma-3-4b-it,5,100
62,gsm,punctuation_30,gemma-3-4b-it,10,100
63,gsm,punctuation_30,gemma-3-4b-it,15,100
64,gsm,punctuation_30,gemma-3-4b-it,20,100
65,gsm,punctuation_30,gemma-3-4b-it,25,100
66,gsm,punctuation_50,Llama-3.1-8B-Instruct,1,100
67,gsm,punctuation_50,Llama-3.1-8B-Instruct,5,100
68,gsm,punctuation_50,Llama-3.1-8B-Instruct,10,100
69,gsm,punctuation_50,Llama-3.1-8B-Instruct,15,100
70,gsm,punctuation_50,Llama-3.1-8B-Instruct,20,100
71,gsm,punctuation_50,Llama-3.1-8B-Instruct,25,100
72,gsm,punctuation_50,Qwen3-14B,1,100
73,gsm,punctuation_50,Qwen3-14B,5,100
74,gsm,punctuation_50,Qwen3-14B,10,100
75,gsm,punctuation_50,Qwen3-14B,15,100
76,gsm,punctuation_50,Qwen3-14B,20,100
77,gsm,punctuation_50,Qwen3-14B,25,100
78,gsm,punctuation_50,Qwen3-4B,1,100
79,gsm,punctuation_50,Qwen3-4B,5,100
80,gsm,punctuation_50,Qwen3-4B,10,100
81,gsm,punctuation_50,Qwen3-4B,15,100
